"term","frequency"
"is",2
"Johnson",2
"Just",2
"kevin",2
"like",2
"Line",2
"literature",2
"local",2
"MD",2
"meeting",2
"money",2
"MY",2
"net",2
"NG",2
"ni",2
"no",2
"NTUcourse",2
"NTUHate",2
"NTUHate1340",2
"NTUHate14440",2
"NTUHate14482",2
"NTUHate14558",2
"NTUHate14585",2
"NTUHate14731",2
"NTUHate14734",2
"NTUHate14740",2
"NTUHate14847",2
"NTUHate14885",2
"NTUHate3270",2
"NTUHate4192",2
"NTUHate50",2
"NTUHate5997",2
"NTUHate722",2
"NTUHate926",2
"NTUHate928",2
"NTUHate934",2
"OAO",2
"og",2
"OK",2
"on",2
"or",2
"org",2
"Orz",2
"O型",2
"P4",2
"partner",2
"photos",2
"Po",2
"ppt",2
"ps",2
"qq",2
"query",2
"rider",2
"RRRRRRRRRRR",2
"s",2
"S",2
"SCI",2
"SJSU",2
"So",2
"source",2
"storm",2
"t",2
"theater",2
"theme",2
"TM",2
"To",2
"u",2
"unknown",2
"viewform",2
"will",2
"wtf",2
"WTF",2
"XC",2
"xX",2
"XXXXX",2
"zz",2
"zzzzz",2
"ㄒ",2
"ㄝ",2
"ㄢ",2
"一三樓",2
"一千多萬",2
"一女",2
"一切都是",2
"一支",2
"一文不值",2
"一付",2
"一代",2
"一出",2
"一加系",2
"一包",2
"一同",2
"一早",2
"一死",2
"一而再",2
"一身",2
"一刻",2
"一周",2
"一波",2
"一股",2
"一段時間",2
"一竿子打",2
"一時衝動",2
"一國",2
"一堂",2
"一宿",2
"一排",2
"一瓶",2
"一連串",2
"一部分",2
"一筆",2
"一絲",2
"一萬塊",2
"一趟",2
"一輛",2
"一鞭",2
"一灘",2
"一體",2
"七",2
"七點",2
"九",2
"九系",2
"了啊",2
"二一",2
"二二八",2
"二十年",2
"二手",2
"二代",2
"二階",2
"二類",2
"人上",2
"人工智慧",2
"人不一",2
"人太少",2
"人文",2
"人自",2
"人的",2
"人格",2
"人教",2
"人給",2
"人亂",2
"人想",2
"人際關係",2
"人講",2
"入侵",2
"八個",2
"刀",2
"十一點半",2
"十五年",2
"十月",2
"十年",2
"十足",2
"十個",2
"十幾",2
"十幾個",2
"十點",2
"三人",2
"三大",2
"三分鐘",2
"三寶",2
"上市",2
"上任",2
"上床",2
"上映",2
"上個",2
"上班",2
"上過",2
"上樓",2
"上膛",2
"上課時",2
"上還",2
"下午茶",2
"下水",2
"下半身",2
"下列",2
"下屆",2
"下架",2
"下流",2
"下降",2
"下書",2
"下線",2
"下輩子",2
"下禮拜",2
"久久",2
"也是",2
"也罷",2
"亡靈",2
"凡",2
"千萬",2
"口渴",2
"土木系",2
"土匪",2
"大方",2
"大牙",2
"大有",2
"大有人在",2
"大事",2
"大到",2
"大夜",2
"大約",2
"大致",2
"大風",2
"大哥",2
"大氣",2
"大國",2
"大亂鬥",2
"大碗",2
"大葉",2
"大賽",2
"大藥",2
"大觀",2
"女一",2
"女三",2
"女子",2
"女兒",2
"女舍",2
"女宿",2
"女宿舍",2
"女排",2
"女廁",2
"女森才",2
"子曰",2
"子彈",2
"小七",2
"小女孩",2
"小王子",2
"小抄",2
"小到",2
"小命",2
"小便",2
"小型",2
"小偏",2
"小偷",2
"小帳",2
"小魯妹求",2
"小魯蛇",2
"小學生",2
"小辮子",2
"工人",2
"工作站",2
"工的",2
"工科",2
"工會",2
"已成",2
"才剛",2
"不了了之",2
"不上不下",2
"不予",2
"不五時",2
"不分",2
"不太到",2
"不必",2
"不正",2
"不在意",2
"不安",2
"不死",2
"不均",2
"不快",2
"不拘",2
"不知不覺",2
"不知所措",2
"不待",2
"不怎麼",2
"不是故意",2
"不耐煩",2
"不要命",2
"不料",2
"不站",2
"不高",2
"不動",2
"不教",2
"不清",2
"不通",2
"不煩",2
"不禁",2
"不擇手段",2
"不懂",2
"不懂裝懂",2
"不戴",2
"不醜",2
"不穩",2
"不願",2
"不顧",2
"丑",2
"中女",2
"中小",2
"中正",2
"中指",2
"中研院",2
"中級",2
"中華民族",2
"中會",2
"之子",2
"之光",2
"之谷",2
"之恥",2
"之餘",2
"云云",2
"互抱",2
"五六十歲",2
"五虎將",2
"仇視",2
"今",2
"今日",2
"介入",2
"允許",2
"內用",2
"內部",2
"公共安全",2
"公共利益",2
"公安",2
"公佈",2
"公務員",2
"公認",2
"六樓",2
"分子",2
"分工",2
"分心",2
"分別",2
"分隔線",2
"分點",2
"分類",2
"分攤",2
"升",2
"友好",2
"友情",2
"反過來",2
"反諷",2
"反覆",2
"天主",2
"天生",2
"天份",2
"天花板",2
"天亮",2
"天真",2
"天菜",2
"天搖地動",2
"天數",2
"太大",2
"太太",2
"太差",2
"太衰",2
"太貴",2
"太極",2
"太過分",2
"太難",2
"夭",2
"巴托",2
"巴洛",2
"引戰",2
"心志",2
"心肝",2
"心知肚明",2
"心神",2
"心得",2
"心累",2
"心寒",2
"心智",2
"心想",2
"心意",2
"心愛",2
"心跳",2
"手上",2
"手牽手",2
"手腳",2
"手算",2
"支付",2
"支那人",2
"支持者",2
"文字獄",2
"文盲",2
"文青",2
"文都",2
"文意",2
"日文課",2
"日台灣",2
"日常",2
"月台",2
"月光",2
"月湖",2
"月經",2
"木",2
"木頭",2
"比如說",2
"比例",2
"比率",2
"毛澤東",2
"水上",2
"水壺",2
"水餃",2
"片還",2
"牙",2
"世",2
"主任",2
"主体性",2
"主角",2
"主持",2
"主張",2
"主義者",2
"他剛",2
"付帳",2
"代了",2
"代考",2
"代替",2
"代領",2
"代價",2
"以內",2
"以利",2
"以偏概全",2
"以貌取人",2
"充分",2
"出一",2
"出口氣",2
"出台",2
"出車禍",2
"出面",2
"出售",2
"出處",2
"出發點",2
"出錯",2
"出難",2
"加系",2
"加到",2
"加速",2
"加薪",2
"北七",2
"北師大",2
"北部",2
"半死",2
"卡住",2
"去死吧",2
"去念",2
"古典",2
"另有",2
"只求",2
"只來",2
"只為",2
"只敢",2
"只會用",2
"可不",2
"可不是",2
"可靠消息",2
"台式",2
"台獨",2
"台灣國",2
"四十年",2
"外加",2
"外界",2
"外遇",2
"夯姐",2
"失控",2
"奴才",2
"奴性",2
"奴隸",2
"奶",2
"奶奶",2
"左",2
"左轉",2
"巨人",2
"巨巨",2
"市場",2
"布",2
"平方",2
"平台",2
"平民",2
"幼稚",2
"幼稚園",2
"必",2
"必然",2
"打字",2
"打炮",2
"打亂",2
"打遊戲",2
"打擊",2
"打擾",2
"未曾",2
"本文",2
"本案",2
"本意",2
"正好",2
"正視",2
"正當",2
"正義感",2
"正確態度",2
"母胎",2
"母校",2
"母親",2
"母體",2
"民族",2
"民眾",2
"民進黨",2
"民間",2
"民粹",2
"永久",2
"永不",2
"犯法",2
"生子",2
"生日快樂",2
"生育率",2
"生活費",2
"生們",2
"生涯",2
"生理需求",2
"生都",2
"生傳",2
"用手",2
"用的",2
"用個",2
"用詞",2
"用學",2
"用爛",2
"田徑隊",2
"田野",2
"田裡",2
"甲甲",2
"白",2
"白白的",2
"白板",2
"示意",2
"立委",2
"立法院",2
"立馬",2
"丟人現眼",2
"交了",2
"交友",2
"交代",2
"交成政",2
"交過",2
"任",2
"任性",2
"任務",2
"伏特",2
"休假",2
"兇手",2
"先天",2
"先去",2
"光明正大",2
"光是",2
"光頭",2
"全文",2
"全台灣",2
"全身",2
"全面",2
"全然",2
"全數",2
"共事",2
"再犯",2
"再而三",2
"再往",2
"再亂",2
"再煩",2
"再裝",2
"再戰",2
"冰",2
"刑法",2
"划算",2
"列車",2
"卍",2
"印",2
"危及",2
"各大",2
"各自",2
"各項",2
"合成",2
"合格",2
"合適",2
"吊走",2
"同一個",2
"同名",2
"同伴",2
"同步",2
"同系級",2
"同流合污",2
"同個",2
"同組",2
"同儕",2
"同額",2
"名篇",2
"回事",2
"回想起來",2
"因果關係",2
"在座",2
"在讀",2
"地下水",2
"地步",2
"地是",2
"地雷",2
"地圖",2
"地質",2
"地質系",2
"多一點",2
"多少次",2
"多台",2
"多於",2
"多項",2
"多寡",2
"多錢",2
"多虧",2
"多鐘",2
"好了",2
"好了嗎",2
"好手",2
"好考",2
"好事",2
"好的",2
"好時機",2
"好幾年",2
"好想哭",2
"好感",2
"好煩",2
"存",2
"宅宅",2
"宇宙",2
"守成",2
"守則",2
"守貞",2
"安排",2
"安寧",2
"年來",2
"年前",2
"年級",2
"忙碌",2
"成年人",2
"成真",2
"收入",2
"收得",2
"收集",2
"收斂",2
"收攤",2
"早該",2
"早睡",2
"有天",2
"有心",2
"有名",2
"有次",2
"有事沒事",2
"有所",2
"有差",2
"有無",2
"有話",2
"有機化學",2
"有錢人",2
"朴信惠",2
"此刻",2
"死刑犯",2
"死嗎",2
"污名",2
"灰心",2
"百元",2
"百分之百",2
"百分百",2
"百合",2
"百萬",2
"竹友",2
"米粉",2
"老一輩",2
"老毛",2
"考了",2
"考才",2
"考不考",2
"考古題",2
"考考",2
"考來考去",2
"考取",2
"考研",2
"考科",2
"考慮一下",2
"而戰",2
"肉體",2
"肌肉男",2
"肌膚",2
"自介",2
"自找",2
"自治",2
"自習",2
"自殘",2
"自詡",2
"自學",2
"自覺",2
"至上",2
"至聖",2
"血汗錢",2
"行前",2
"行政部門",2
"衣衽",2
"西",2
"伸進",2
"但料",2
"低階",2
"低落",2
"佔著",2
"佔據",2
"何以",2
"何會",2
"作怪",2
"作風",2
"作息",2
"作業系統",2
"作夢",2
"作響",2
"你老",2
"你別",2
"你哥",2
"你啊",2
"你問",2
"你點",2
"冷水",2
"冷冷",2
"冷靜",2
"別系",2
"別校",2
"別跟我",2
"別鬧",2
"利息",2
"刪掉",2
"即",2
"卵蛋",2
"君",2
"吠",2
"吵屁",2
"吵鬧",2
"吹風機",2
"吹頭髮",2
"呈現",2
"囧",2
"困難重重",2
"坐下",2
"坐到",2
"夾腳",2
"妖怪",2
"妝",2
"完球",2
"完蛋",2
"完森多概",2
"尾",2
"屁啊",2
"屁話",2
"岔道",2
"快到",2
"快速",2
"我文",2
"我方",2
"我加",2
"我吧",2
"我剛",2
"我記",2
"我愛你",2
"我愛的",2
"我當",2
"我學",2
"我學渣",2
"戒斷",2
"扭曲",2
"找出",2
"找回",2
"找來",2
"找過",2
"把握",2
"把頭",2
"抒發",2
"抓到",2
"抓著",2
"投票率",2
"抖",2
"折磨",2
"改叫",2
"改成",2
"改個",2
"改進",2
"改過",2
"改錯",2
"攻略",2
"更為",2
"材力",2
"每日",2
"每夜",2
"求問",2
"沈重",2
"沒人要",2
"沒去",2
"沒拿到",2
"沒問",2
"沒對",2
"沒種",2
"沒寫",2
"沒講",2
"沒聽過",2
"沖掉",2
"沙小",2
"沛",2
"狂開",2
"男一區",2
"男一宿",2
"男二",2
"男方",2
"男主角",2
"男生宿舍",2
"男校",2
"男籃",2
"禿頭",2
"秀智",2
"私校",2
"系友",2
"系友們",2
"系天菜",2
"系名",2
"系在",2
"系的",2
"系花",2
"系壘",2
"系籃",2
"肚子",2
"肚子餓",2
"肛門",2
"良多",2
"見過",2
"角",2
"走出",2
"走向",2
"走來",2
"走來走去",2
"走著",2
"走開",2
"走嗎",2
"足夠",2
"身影",2
"車門",2
"車停",2
"車裏",2
"車禍",2
"那段",2
"那套",2
"那時",2
"那點",2
"邪惡",2
"防治法",2
"防疫",2
"並排",2
"乖",2
"乖巧",2
"乳房",2
"事來",2
"事宜",2
"事項",2
"事實上",2
"亞洲",2
"併入",2
"使然",2
"來來來",2
"來修",2
"來個",2
"來過",2
"來戰",2
"來選",2
"來講",2
"例",2
"依賴",2
"兒",2
"兒女",2
"兒歌",2
"兩三年",2
"兩下",2
"兩者",2
"兩項",2
"兩篇",2
"其學代",2
"其擾",2
"具有",2
"具體",2
"初",2
"到手",2
"到來",2
"制止",2
"制定",2
"制訂",2
"刷牙",2
"刷卡",2
"刷刷",2
"刺激",2
"卑微",2
"卓獎",2
"協助",2
"協定",2
"取得",2
"受害",2
"周系",2
"周圍",2
"呵呵哈",2
"呼之欲出",2
"呼醒",2
"命中",2
"命令",2
"咀嚼",2
"和諧",2
"咖啡店",2
"坦白",2
"坦白說",2
"垃圾場",2
"夜大",2
"夜市",2
"夜店",2
"夜晚",2
"奉獻",2
"妹墊",2
"姆",2
"姊姊",2
"姊們",2
"姐有",2
"姐妹",2
"姐姐",2
"姐們",2
"委員",2
"孤寂",2
"官方網站",2
"定位",2
"定義",2
"定價",2
"尚可",2
"居民",2
"居多",2
"屆",2
"底",2
"店",2
"店家",2
"延續",2
"往常",2
"征服",2
"忠厚",2
"念到",2
"念碩班",2
"念頭",2
"忽然",2
"忿忿不平",2
"怕熱",2
"性生活",2
"性感",2
"性質",2
"或者說",2
"房子",2
"房門",2
"房租",2
"所上",2
"所知",2
"所得",2
"所處",2
"抬",2
"抵制",2
"抹黑",2
"抽筋",2
"拉扯",2
"拉拉",2
"拉票",2
"拍賣",2
"拐",2
"拚",2
"拚命",2
"招募",2
"招領",2
"放大",2
"放不下",2
"放心",2
"放任",2
"放回",2
"放著",2
"放進",2
"放進去",2
"放過",2
"放錯",2
"放鬆",2
"昆蟲",2
"明早",2
"明亮",2
"明說",2
"服",2
"服從",2
"東",2
"東北部",2
"東京",2
"東南亞",2
"松山",2
"板上",2
"林北",2
"林北要",2
"果子",2
"果蠅",2
"欣",2
"武陵",2
"河蟹",2
"油",2
"法",2
"法官",2
"法研",2
"法案",2
"法商",2
"法學院",2
"泡沫",2
"泡泡",2
"波",2
"注視",2
"泳客",2
"炒作",2
"版規",2
"物",2
"物品",2
"狗屎",2
"狗眼看人",2
"玩合",2
"玩死",2
"的吧",2
"的車",2
"的啦",2
"的給",2
"盲從者",2
"直停",2
"直說",2
"社交",2
"空氣",2
"罔顧",2
"股",2
"肩",2
"肩膀",2
"舍胞",2
"舍區",2
"花生糖",2
"花車",2
"花樣",2
"花錢",2
"表五",2
"表四",2
"表情",2
"表態",2
"迎接",2
"近代",2
"邱",2
"金句",2
"金來",2
"金額",2
"長江",2
"長遠",2
"阻止",2
"阿Q",2
"阿怪",2
"阿桑",2
"雨",2
"雨傘",2
"青菜",2
"非凡",2
"非得",2
"非管院",2
"侮辱",2
"便利",2
"便當",2
"俗辣",2
"保存",2
"保安",2
"保育",2
"信仰",2
"信念",2
"信旺盟",2
"信望",2
"冠希喝",2
"前一天",2
"前進",2
"前線",2
"前輩",2
"勁戰",2
"南一中",2
"南友會",2
"南向",2
"卻換",2
"卻說",2
"厚",2
"咳嗽聲",2
"品牌",2
"品嘗",2
"哈佛",2
"哎",2
"型",2
"契機",2
"威武",2
"威權",2
"客觀",2
"宣布",2
"室外",2
"封面",2
"封閉",2
"屏東",2
"帝國",2
"帥氣",2
"建台",2
"建築",2
"建築物",2
"彥",2
"很快",2
"很怕",2
"很近",2
"很長",2
"很美",2
"很差",2
"很慘",2
"後人",2
"後方",2
"後者",2
"後座",2
"後排",2
"後腦勺",2
"怒",2
"怒怒",2
"急救",2
"急診室",2
"怨天尤人",2
"拜",2
"拯救",2
"拼音",2
"拼圖",2
"指出",2
"指甲",2
"指名道姓",2
"指控",2
"指望",2
"指責",2
"指畫",2
"指標",2
"指導",2
"按個",2
"挑釁",2
"政見發表",2
"政策",2
"政權",2
"既有",2
"星期一",2
"星期二",2
"星期五",2
"星期四",2
"春假",2
"昨天晚上",2
"是我太",2
"是嗎",2
"某之夜",2
"某房",2
"某所",2
"某劇",2
"查證",2
"柯",2
"歪頭",2
"段",2
"洗完",2
"洗到",2
"洗面乳",2
"洗碗",2
"洩憤",2
"活得",2
"活著",2
"流淚",2
"流著",2
"炫",2
"炫富",2
"炸",2
"炸彈",2
"甚者",2
"相同",2
"相較",2
"相機",2
"省錢",2
"眉頭",2
"看出",2
"看台",2
"看的",2
"看得出來",2
"看清",2
"看齊",2
"看學霸",2
"砍",2
"研究社",2
"研究員",2
"研協",2
"研討",2
"祈禱",2
"科目",2
"科技大樓",2
"紀元",2
"紀念",2
"約定",2
"約炮",2
"紅",2
"紅人",2
"美人魚",2
"美少年",2
"美食",2
"耍費",2
"耐心",2
"背叛者",2
"背景",2
"胡",2
"苦讀",2
"英文歌",2
"英國",2
"茅坑",2
"虐",2
"虐待",2
"虐殺",2
"要付",2
"要台",2
"要害",2
"要問",2
"要換",2
"要進",2
"要嗎",2
"要當",2
"訂",2
"計結",2
"計概",2
"計劃",2
"計算機",2
"計價",2
"趴在",2
"軍事",2
"迫於",2
"重",2
"重放",2
"重要性",2
"重訓室",2
"重配",2
"陋習",2
"降低",2
"降到",2
"降落",2
"面子",2
"面交",2
"面面俱到",2
"頁",2
"頁碼",2
"風向",2
"風骨",2
"風景",2
"風評",2
"風範",2
"風頭",2
"飛",2
"食量",2
"香",2
"香味",2
"香腸",2
"修去",2
"修外系",2
"修正",2
"修完",2
"修改",2
"修嗎",2
"修過",2
"修養",2
"俯瞰",2
"個子",2
"個別",2
"個例",2
"個連",2
"個體",2
"倒下",2
"借題發揮",2
"倭奴",2
"兼",2
"冥想",2
"凌晨",2
"剛去",2
"剛來",2
"原子筆",2
"原以",2
"原始",2
"原處",2
"原罪",2
"哪位",2
"哪部",2
"哪裡呢",2
"哪種",2
"哲",2
"套房",2
"姬",2
"娘炮",2
"娛樂",2
"害臊",2
"家屬",2
"射",2
"射精",2
"展開",2
"島",2
"差不多",2
"差異",2
"差嗎",2
"座",2
"弱者",2
"徐",2
"恐懼",2
"挫折",2
"挺身而出",2
"捐給",2
"旁人",2
"旁觀者",2
"時事",2
"時薪",2
"書本",2
"書呆子",2
"書局",2
"校",2
"校友會",2
"校名",2
"格",2
"格子",2
"格外",2
"框架",2
"案例",2
"案發",2
"桌底",2
"殊不知",2
"浪廢",2
"海",2
"海報",2
"海鮮",2
"烏煙瘴氣",2
"特工",2
"特色",2
"特定",2
"狹窄",2
"狼",2
"班次",2
"留下來",2
"留不住",2
"留著",2
"留意",2
"疾管署",2
"症",2
"真多",2
"真的假",2
"真得",2
"真善美",2
"破車",2
"破洞",2
"祖先",2
"祝你們",2
"神父",2
"神奇",2
"神情",2
"神經",2
"秘訣",2
"站哨",2
"笑一笑",2
"粉絲團",2
"純潔",2
"純屬",2
"紙",2
"素食",2
"缺乏",2
"缺德",2
"缺錢",2
"缺點",2
"能來",2
"臭宅",2
"臭死",2
"臭屁",2
"茫然",2
"茶",2
"草皮",2
"草原",2
"蚊",2
"蚊子",2
"衰",2
"討人厭",2
"訓練",2
"記",2
"記錄",2
"財務",2
"財產",2
"起初",2
"起飛",2
"迴轉",2
"迷人",2
"迷茫",2
"迷惘",2
"追女生",2
"追究",2
"退費",2
"送給",2
"酒店",2
"針砭",2
"針線",2
"閃人",2
"院士",2
"院長",2
"院營",2
"陣子",2
"陣營",2
"除外",2
"飢渴",2
"馬子",2
"馬的",2
"高大",2
"高中畢業",2
"高分子",2
"高級",2
"高教",2
"高等",2
"高層",2
"高調",2
"假大",2
"假性",2
"假冒",2
"偏差",2
"偏貴",2
"做成",2
"做後",2
"做起",2
"做錯事",2
"停下來",2
"停留",2
"健忘",2
"偷親",2
"偽",2
"偽善",2
"偽裝",2
"剪",2
"勒索",2
"動漫",2
"務處",2
"區間",2
"參予",2
"參考",2
"唬爛",2
"唸經",2
"啃",2
"商量",2
"問他",2
"問你",2
"問到",2
"問卦",2
"問個",2
"啞鈴",2
"啪",2
"圈圈",2
"國人",2
"國中生",2
"國內",2
"國王",2
"國度",2
"國教",2
"執政黨",2
"培育",2
"基金會",2
"堆砌",2
"堵",2
"堵到",2
"堵塞",2
"夠小",2
"奢求",2
"婆婆",2
"婚禮",2
"宿網",2
"寄生蟲",2
"將以",2
"將我",2
"專",2
"專長",2
"專屬",2
"崛起",2
"崩壞",2
"帶到",2
"帶給",2
"帶著",2
"帶領",2
"帶頭",2
"常去",2
"常說",2
"張貼",2
"強力",2
"強大",2
"強化",2
"強者",2
"強硬",2
"從大一",2
"從早",2
"從此",2
"從事",2
"從國",2
"惋惜",2
"惜福",2
"捨棄",2
"掃",2
"掃地",2
"授業",2
"掏出",2
"排版",2
"排球場",2
"排課",2
"掛他",2
"掛在",2
"掛掉",2
"採精系",2
"接軌",2
"接球",2
"控制組",2
"推甄",2
"推論",2
"掩護",2
"救生員",2
"救援",2
"敗壞",2
"教主",2
"教他",2
"教出",2
"教好",2
"教育資源",2
"教長",2
"教研",2
"教書",2
"教教",2
"教職",2
"教職員",2
"教權",2
"晚安",2
"晚來",2
"晚睡",2
"條",2
"條列",2
"棄屍",2
"殺死",2
"殺害",2
"殺掉",2
"淋",2
"淋雨",2
"淡江",2
"深",2
"深怕",2
"深深",2
"深陷",2
"深感",2
"混熟",2
"清出",2
"清國奴",2
"清痰",2
"爽快",2
"爽朗",2
"牽涉到",2
"牽連",2
"率",2
"現今",2
"現代",2
"現象",2
"球衣",2
"球是",2
"球場",2
"球鞋",2
"理工科",2
"理工學院",2
"理財",2
"理組",2
"理智",2
"理會",2
"理當",2
"產生",2
"畢典",2
"畢舞",2
"異己",2
"異議",2
"眼",2
"眼前",2
"眼界",2
"眼紅",2
"眼睜睜",2
"眼裡",2
"眼鏡",2
"眾",2
"眾人系",2
"笨",2
"第一印象",2
"第一階段",2
"第二個",2
"第二間",2
"第三",2
"第三次",2
"第三種",2
"第四種",2
"粗心大意",2
"紳士",2
"終究",2
"羚羊",2
"脖子",2
"莉莉",2
"莫非",2
"處境",2
"蛀",2
"袋子",2
"被叫",2
"被車撞",2
"被問",2
"被關",2
"設備",2
"貨",2
"貨都",2
"責任感",2
"軟性",2
"軟體",2
"透過",2
"逐字",2
"逐步",2
"這才",2
"這不",2
"這方面",2
"這名",2
"這回",2
"這串",2
"這我",2
"這把",2
"這家",2
"這根",2
"這場",2
"這閒晃",2
"這塊",2
"這裏",2
"這跟",2
"這麼久",2
"這樣的話",2
"這輩子",2
"這題",2
"通",2
"通姦",2
"逛",2
"造假",2
"連接",2
"連賣",2
"都講",2
"酗酒",2
"野心",2
"野餐",2
"釣到",2
"閉上",2
"閉上眼睛",2
"陪伴",2
"陰",2
"陰影",2
"陳水扁",2
"陷入",2
"陸生",2
"陸陸續續",2
"頂多",2
"頂樓",2
"麥芽",2
"麻將",2
"麻雀",2
"傅斯年",2
"備胎",2
"凱瑞",2
"剩菜",2
"割愛",2
"創作",2
"創業",2
"博士後",2
"博弈",2
"博雅",2
"唾棄",2
"喀",2
"善",2
"喜愛",2
"喝醉酒",2
"單一",2
"單位",2
"圍剿",2
"堪稱",2
"報復",2
"報警",2
"場地",2
"媚",2
"富",2
"富有",2
"就連",2
"就給",2
"就業",2
"就醫",2
"帽",2
"幾",2
"幾分鐘",2
"幾位",2
"幾條",2
"幾隊",2
"幾歲",2
"幾篇",2
"幾聲",2
"惡魔",2
"掌控",2
"揉",2
"描述",2
"提告",2
"提防",2
"提起",2
"提高",2
"提問",2
"提價",2
"換上",2
"換成",2
"換到",2
"換得",2
"換頭",2
"握",2
"握緊",2
"揭下",2
"揭發",2
"揭櫫",2
"敢講",2
"散文",2
"散步",2
"普",2
"普男",2
"普物",2
"普通人",2
"景仰",2
"景點",2
"晾",2
"最佳",2
"最棒",2
"最會",2
"最慘",2
"朝",2
"期盼",2
"期限",2
"期望",2
"棒球",2
"森多",2
"森多概",2
"殘忍",2
"殘害",2
"殘渣",2
"減肥",2
"渣們",2
"測試",2
"游來游去",2
"無人",2
"無時無刻",2
"無視",2
"無意間",2
"無盡",2
"無誤",2
"無憂無慮",2
"無數",2
"無緣",2
"無論是",2
"無憑無據",2
"牌位",2
"猴子",2
"畫家",2
"痛不欲生",2
"痛心",2
"發出聲音",2
"發作",2
"發明家",2
"發笑",2
"發揮",2
"短時間",2
"短裙",2
"硬是",2
"稀有",2
"筆",2
"等待",2
"結尾",2
"結紮",2
"結構",2
"結論",2
"絕殺",2
"給予",2
"給給",2
"給點",2
"華麗",2
"著名",2
"著頭",2
"虛度光陰",2
"虛偽",2
"虛榮",2
"虛榮心",2
"蛤",2
"街貓",2
"視為",2
"診所",2
"診斷",2
"註冊",2
"評估",2
"貴校",2
"貴賓",2
"貶低",2
"買車",2
"買來",2
"買單",2
"買賣",2
"貼出來",2
"超大型",2
"超有",2
"超怕",2
"超重",2
"超差",2
"超棒",2
"超想",2
"超慢",2
"超難",2
"越來越低",2
"跌倒",2
"跑掉",2
"週二",2
"週是",2
"鄉人",2
"量",2
"量測",2
"開口",2
"開大",2
"開示",2
"開門",2
"開張",2
"開開心心",2
"開幕",2
"開課",2
"開關",2
"閒聊",2
"陽",2
"陽光",2
"陽明",2
"階段",2
"階層",2
"雄夜",2
"集結",2
"順手",2
"黑人",2
"黑板",2
"黑特生",2
"黑筆",2
"黑雲",2
"黑暗",2
"黑蘭友",2
"黑蘭友會",2
"亂七八糟",2
"亂叫",2
"亂源",2
"傳出",2
"傳到",2
"傳染",2
"傳授",2
"傳播",2
"傻傻的",2
"僅有",2
"募資",2
"塗鴉",2
"塞住",2
"塞進",2
"填個",2
"媲美",2
"媽的還",2
"媽還",2
"嫌棄",2
"幹去",2
"幹來",2
"幹林",2
"幹為",2
"幹傘",2
"幹過",2
"想入",2
"想來想去",2
"想換",2
"想講",2
"想贏",2
"想讀",2
"意",2
"意味著",2
"意淫",2
"愛上",2
"愛打",2
"愛好者",2
"愛你",2
"愛來",2
"愛看",2
"愛穿",2
"愛鳥",2
"愛過",2
"搜",2
"搜尋",2
"搞掉",2
"搞混",2
"搬進",2
"搭便車",2
"敬佩",2
"新北市",2
"新生兒",2
"新來",2
"新招",2
"新知",2
"新進",2
"新聞標題",2
"新語",2
"新興",2
"暄",2
"暗示",2
"會有",2
"會計學",2
"會寫",2
"楊",2
"楊同學",2
"業績",2
"極端主義",2
"毀謗",2
"準確無誤",2
"照顧",2
"煩惱",2
"當上",2
"當今",2
"當他",2
"當奴才",2
"當事人",2
"當家",2
"當神",2
"當場",2
"當選",2
"盟",2
"碎念",2
"碗",2
"禁忌",2
"節錄",2
"綁架",2
"經研",2
"經費",2
"群眾",2
"義憤填膺",2
"腦補",2
"腫",2
"腳下",2
"腹肌",2
"萬年",2
"萬國",2
"落得",2
"落魄",2
"落點",2
"董事",2
"補訂",2
"補習",2
"裝熟問",2
"裡有",2
"裡被",2
"裡頭",2
"解決問題",2
"解約",2
"解剖學",2
"解脫",2
"解惑",2
"試",2
"試問",2
"試試看",2
"詩",2
"話術",2
"該校",2
"誠",2
"誠心",2
"資工",2
"資訊系",2
"資結",2
"資管系",2
"資優班",2
"跨過",2
"跪下",2
"路口",2
"路邊",2
"跳出",2
"跳板",2
"跳過",2
"跳樓",2
"躲起來",2
"較大",2
"農場",2
"農業機械",2
"遇見",2
"遊行",2
"遊說",2
"過人",2
"過不去",2
"過日子",2
"過年",2
"過往",2
"過氣",2
"過渡期",2
"遑論",2
"達成",2
"違停",2
"電子學",2
"電玩",2
"電動",2
"電視",2
"電源",2
"電類",2
"電鑽",2
"預定",2
"預約",2
"預期",2
"預購",2
"鼓起勇氣",2
"鼓勵",2
"像豬",2
"厭世",2
"嘆",2
"嘉會",2
"嘉義",2
"嘍",2
"嘎裡",2
"嘗試",2
"圖畫",2
"團員",2
"團結起來",2
"壽命",2
"夢到",2
"寢",2
"實務",2
"實話",2
"實體",2
"對了",2
"對照",2
"對魯蛇",2
"慘",2
"慘不忍睹",2
"慢走",2
"截止",2
"截止日",2
"摟摟抱抱",2
"摸魚",2
"摸熟",2
"敲開",2
"旗",2
"暝",2
"榮幸",2
"槍聲",2
"歌王",2
"歌曲",2
"歌唱",2
"滷汁",2
"滷味",2
"滾出去",2
"滾回",2
"滿懷",2
"漂亮話",2
"漆黑",2
"演出",2
"熄",2
"爾",2
"疑義",2
"瘋了",2
"瘋子",2
"盡情",2
"監視器",2
"睡不著",2
"睡得",2
"瞄",2
"碩班",2
"種",2
"稱讚",2
"端",2
"算來",2
